Costa Rica,United States,529
United States,Netherlands,702
Honduras,United States,411
The Bahamas,United States,950
El Salvador,United States,572
Mexico,United States,6427
United States,Costa Rica,560
Colombia,United States,872
United States,Jamaica,714
Panama,United States,456
United States,The Bahamas,991
United States,China,767
United States,Dominican Republic,1282
United States,United States,358354
Germany,United States,1391
United States,South Korea,754
United States,El Salvador,486
United States,Panama,460
United States,Honduras,412
Canada,United States,7974
Jamaica,United States,673
Dominican Republic,United States,1230
Japan,United States,1591
United States,France,960
Brazil,United States,927
United States,Germany,1343
United States,Mexico,6490
Netherlands,United States,773
China,United States,653
United Kingdom,United States,1912
United States,Spain,424
Cuba,United States,417
United States,Japan,1501
United States,Brazil,578
United States,United Kingdom,1812
United States,Canada,8177
South Korea,United States,968
France,United States,966
United States,Cuba,419
United States,Colombia,888
